    0.1000000000E-01    0.4160373718+211   -0.2071751599+212    0.1031675454+213     324.0435975        -4.979724754        0.4160373718+211
    0.5304836895E-01    0.1786590957E+36   -0.8834987853E+36    0.4370247043E+37     326.3855567        -4.945165437        0.1786590957E+36
    0.5404949381E-01    0.3179302838E+35   -0.1571437787E+36    0.7769501019E+36     326.5159905        -4.942711870        0.3179302838E+35
    0.5505061867E-01    0.6029396107E+34   -0.2978598900E+35    0.1471949420E+36     326.6455824        -4.940128077        0.6029396107E+34
    0.5605174353E-01    0.1214456142E+34   -0.5996274329E+34    0.2961667928E+35     326.7735535        -4.937415294        0.1214456142E+34
    0.5705286839E-01    0.2589938104E+33   -0.1278024517E+34    0.6308952581E+34     326.8991543        -4.934575522        0.2589938104E+33
    0.5805399325E-01    0.5830737281E+32   -0.2875493099E+33    0.1418675274E+34     327.0216737        -4.931611492        0.5830737281E+32
    0.5905511811E-01    0.1381963908E+32   -0.6811045917E+32    0.3358355689E+33     327.1404472        -4.928526627        0.1381963908E+32
    0.6005624297E-01    0.3439537744E+31   -0.1694084119E+32    0.8347952685E+32     327.2548636        -4.925324987        0.3439537744E+31
    0.6105736783E-01    0.8968020068E+30   -0.4414069536E+31    0.2173734780E+32     327.3643705        -4.922011217        0.8968020068E+30
    0.6205849269E-01    0.2444079107E+30   -0.1202142423E+31    0.5916111078E+31     327.4684788        -4.918590480        0.2444079107E+30
    0.6305961755E-01    0.6947780324E+29   -0.3414881552E+30    0.1679423065E+31     327.5667653        -4.915068399        0.6947780324E+29
    0.6406074241E-01    0.2056056573E+29   -0.1009822109E+30    0.4962779005E+30     327.6588747        -4.911450987        0.2056056573E+29
    0.6506186727E-01    0.6322371480E+28   -0.3102858434E+29    0.1523805807E+30     327.7445197        -4.907744576        0.6322371480E+28
    0.6606299213E-01    0.2016631713E+28   -0.9889472695E+28    0.4853118784E+29     327.8234808        -4.903955755        0.2016631713E+28
    0.6706411699E-01    0.6661388667E+27   -0.3264141262E+28    0.1600626151E+29     327.8956039        -4.900091296        0.6661388667E+27
    0.6806524184E-01    0.2275231436E+27   -0.1113989282E+28    0.5458442665E+28     327.9607983        -4.896158096        0.2275231436E+27
    0.6906636670E-01    0.8023763933E+26   -0.3925356193E+27    0.1921886548E+28     328.0190330        -4.892163112        0.8023763933E+26
    0.7006749156E-01    0.2917608445E+26   -0.1426160065E+27    0.6977062275E+27     328.0703325        -4.888113303        0.2917608445E+26
    0.7106861642E-01    0.1092470361E+26   -0.5335642262E+26    0.2608206440E+27     328.1147730        -4.884015579        0.1092470361E+26
